surface,station,airfoil,point,x_m,y_m,z_m
wing,0,sd7037,0,0.635,0.0,0.0
wing,0,sd7037,1,0.634196,-5e-06,0.000103
wing,0,sd7037,2,0.631832,-2e-05,0.000441
wing,0,sd7037,3,0.628008,-4.9e-05,0.001067
wing,0,sd7037,4,0.62285,-9.1e-05,0.001985
wing,0,sd7037,5,0.616503,-0.000146,0.003169
wing,0,sd7037,6,0.609091,-0.00021,0.004564
wing,0,sd7037,7,0.600737,-0.00028,0.006094
wing,0,sd7037,8,0.591539,-0.000354,0.007687
wing,0,sd7037,9,0.581592,-0.000427,0.009271
wing,0,sd7037,10,0.570969,-0.000497,0.0108
wing,0,sd7037,11,0.55977,-0.000564,0.012264
wing,0,sd7037,12,0.548121,-0.000628,0.013637
wing,0,sd7037,13,0.536155,-0.000685,0.014892
wing,0,sd7037,14,0.523998,-0.000736,0.016001
wing,0,sd7037,15,0.51178,-0.000779,0.016929
wing,0,sd7037,16,0.499625,-0.000812,0.017648
wing,0,sd7037,17,0.487662,-0.000835,0.018135
wing,0,sd7037,18,0.475997,-0.000845,0.018365
wing,0,sd7037,19,0.464745,-0.000843,0.018326
wing,0,sd7037,20,0.454006,-0.000829,0.018008
wing,0,sd7037,21,0.443873,-0.000801,0.017408
wing,0,sd7037,22,0.434436,-0.000761,0.01653
wing,0,sd7037,23,0.425772,-0.000708,0.015384
wing,0,sd7037,24,0.417955,-0.000644,0.013987
wing,0,sd7037,25,0.411036,-0.000569,0.012357
wing,0,sd7037,26,0.405058,-0.000484,0.010524
wing,0,sd7037,27,0.40005,-0.000393,0.008532
wing,0,sd7037,28,0.396032,-0.000296,0.006442
wing,0,sd7037,29,0.393018,-0.000199,0.004332
wing,0,sd7037,30,0.391024,-0.000105,0.002291
wing,0,sd7037,31,0.390051,-2.1e-05,0.000453
wing,0,sd7037,32,0.390311,4.4e-05,-0.000962
wing,0,sd7037,33,0.391975,9.5e-05,-0.002053
wing,0,sd7037,34,0.394993,0.000138,-0.003003
wing,0,sd7037,35,0.39931,0.000174,-0.003771
wing,0,sd7037,36,0.404881,0.0002,-0.004349
wing,0,sd7037,37,0.411668,0.000218,-0.004733
wing,0,sd7037,38,0.419606,0.000227,-0.004936
wing,0,sd7037,39,0.428624,0.000229,-0.004973
wing,0,sd7037,40,0.438633,0.000224,-0.004863
wing,0,sd7037,41,0.449525,0.000213,-0.004628
wing,0,sd7037,42,0.461185,0.000198,-0.004293
wing,0,sd7037,43,0.473474,0.000179,-0.003882
wing,0,sd7037,44,0.486256,0.000157,-0.003417
wing,0,sd7037,45,0.499375,0.000134,-0.002912
wing,0,sd7037,46,0.512681,0.00011,-0.002389
wing,0,sd7037,47,0.526022,8.6e-05,-0.00186
wing,0,sd7037,48,0.539239,6.2e-05,-0.001344
wing,0,sd7037,49,0.552183,3.9e-05,-0.000854
wing,0,sd7037,50,0.564697,1.9e-05,-0.000411
wing,0,sd7037,51,0.576636,2e-06,-3.4e-05
wing,0,sd7037,52,0.587842,-1.2e-05,0.000255
wing,0,sd7037,53,0.598162,-2e-05,0.000445
wing,0,sd7037,54,0.607452,-2.5e-05,0.000538
wing,0,sd7037,55,0.615574,-2.5e-05,0.000534
wing,0,sd7037,56,0.622405,-2.1e-05,0.000453
wing,0,sd7037,57,0.627839,-1.5e-05,0.000323
